disorder_cui|name|definition
C0276226|Herpes encephalitis|An acute (or rarely chronic) inflammatory process of the brain caused by SIMPLEXVIRUS infections which may be fatal. The majority of infections are caused by human herpesvirus 1 (HERPESVIRUS 1, HUMAN) and less often by human herpesvirus 2 (HERPESVIRUS 2, HUMAN). Clinical manifestations include FEVER; HEADACHE; SEIZURES; HALLUCINATIONS; behavioral alterations; APHASIA; hemiparesis; and COMA. Pathologically, the condition is marked by a hemorrhagic necrosis involving the medial and inferior TEMPORAL LOBE and orbital regions of the FRONTAL LOBE. (From Adams et al., Principles of Neurology, 6th ed, pp751-4)
C0149678|Epstein-Barr Virus Infections|Infection with human herpesvirus 4 (HERPESVIRUS 4, HUMAN); which may facilitate the development of various lymphoproliferative disorders. These include BURKITT LYMPHOMA (African type), INFECTIOUS MONONUCLEOSIS, and oral hairy leukoplakia (LEUKOPLAKIA, HAIRY).
C0015674|Chronic Fatigue Syndrome|A syndrome characterized by persistent or recurrent fatigue, diffuse musculoskeletal pain, sleep disturbances, and subjective cognitive impairment of 6 months duration or longer. Symptoms are not caused by ongoing exertion; are not relieved by rest; and result in a substantial reduction of previous levels of occupational, educational, social, or personal activities. Minor alterations of immune, neuroendocrine, and autonomic function may be associated with this syndrome. There is also considerable overlap between this condition and FIBROMYALGIA. (From Semin Neurol 1998;18(2):237-42; Ann Intern Med 1994 Dec 15;121(12): 953-9)
C0038436|Post-Traumatic Stress Disorder|A class of traumatic stress disorders with symptoms that last more than one month.
C4042784|Feeding and Eating Disorders|A group of disorders characterized by physiological and/or psychological disturbances in appetite or food intake.
C3658267|Prostatic Neoplasms, Castration-Resistant|Tumors or cancer of the PROSTATE which can grow in the presence of low or residual amount of androgen hormones such as TESTOSTERONE.
C0043459|Zellweger Syndrome|An autosomal recessive disorder due to defects in PEROXISOME biogenesis which involves more than 13 genes encoding peroxin proteins of the peroxisomal membrane and matrix. Zellweger syndrome is typically seen in the neonatal period with features such as dysmorphic skull; MUSCLE HYPOTONIA; SENSORINEURAL HEARING LOSS; visual compromise; SEIZURES; progressive degeneration of the KIDNEYS and the LIVER. Zellweger-like syndrome refers to phenotypes resembling the neonatal Zellweger syndrome but seen in children or adults with apparently intact peroxisome biogenesis.
C0023443|Hairy Cell Leukemia|A neoplastic disease of the lymphoreticular cells which is considered to be a rare type of chronic leukemia; it is characterized by an insidious onset, splenomegaly, anemia, granulocytopenia, thrombocytopenia, little or no lymphadenopathy, and the presence of hairy or flagellated cells in the blood and bone marrow.
C0003811|Cardiac Arrhythmia|Any disturbances of the normal rhythmic beating of the heart or MYOCARDIAL CONTRACTION. Cardiac arrhythmias can be classified by the abnormalities in HEART RATE, disorders of electrical impulse generation, or impulse conduction.
C0018418|Gynecomastia|Enlargement of the BREAST in the males, caused by an excess of ESTROGENS. Physiological gynecomastia is normally observed in NEWBORNS; ADOLESCENT; and AGING males.
C0002965|Angina, Unstable|Precordial pain at rest, which may precede a MYOCARDIAL INFARCTION.
C0040038|Thromboembolism|Obstruction of a blood vessel (embolism) by a blood clot (THROMBUS) in the blood stream.
C0040046|Thrombophlebitis|Inflammation of a vein associated with a blood clot (THROMBUS).
C0034065|Pulmonary Embolism|Blocking of the PULMONARY ARTERY or one of its branches by an EMBOLUS.
C0014849|Esophageal and Gastric Varices|Dilated blood vessels in the ESOPHAGUS or GASTRIC FUNDUS that shunt blood from the portal circulation (PORTAL SYSTEM) to the systemic venous circulation. Often they are observed in individuals with portal hypertension (HYPERTENSION, PORTAL).
C0270736|Essential Tremor|A relatively common disorder characterized by a fairly specific pattern of tremors which are most prominent in the upper extremities and neck, inducing titubations of the head. The tremor is usually mild, but when severe may be disabling. An autosomal dominant pattern of inheritance may occur in some families (i.e., familial tremor). (Mov Disord 1988;13(1):5-10)
C0042514|Tachycardia, Ventricular|An abnormally rapid ventricular rhythm usually in excess of 150 beats per minute. It is generated within the ventricle below the BUNDLE OF HIS, either as autonomic impulse formation or reentrant impulse conduction. Depending on the etiology, onset of ventricular tachycardia can be paroxysmal (sudden) or nonparoxysmal, its wide QRS complexes can be uniform or polymorphic, and the ventricular beating may be independent of the atrial beating (AV dissociation).
C0031511|Pheochromocytoma|A usually benign, well-encapsulated, lobular, vascular tumor of chromaffin tissue of the ADRENAL MEDULLA or sympathetic paraganglia. The cardinal symptom, reflecting the increased secretion of EPINEPHRINE and NOREPINEPHRINE, is HYPERTENSION, which may be persistent or intermittent. During severe attacks, there may be HEADACHE; SWEATING, palpitation, apprehension, TREMOR; PALLOR or FLUSHING of the face, NAUSEA and VOMITING, pain in the CHEST and ABDOMEN, and paresthesias of the extremities. The incidence of malignancy is as low as 5% but the pathologic distinction between benign and malignant pheochromocytomas is not clear. (Dorland, 27th ed; DeVita Jr et al., Cancer: Principles & Practice of Oncology, 3d ed, p1298)
C0021390|Inflammatory Bowel Diseases|Chronic, non-specific inflammation of the GASTROINTESTINAL TRACT. Etiology may be genetic or environmental. This term includes CROHN DISEASE and ULCERATIVE COLITIS.
C0019151|Hepatic Encephalopathy|A syndrome characterized by central nervous system dysfunction in association with LIVER FAILURE, including portal-systemic shunts. Clinical features include lethargy and CONFUSION (frequently progressing to COMA); ASTERIXIS; NYSTAGMUS, PATHOLOGIC; brisk oculovestibular reflexes; decorticate and decerebrate posturing; MUSCLE SPASTICITY; and bilateral extensor plantar reflexes (see REFLEX, BABINSKI). ELECTROENCEPHALOGRAPHY may demonstrate triphasic waves. (From Adams et al., Principles of Neurology, 6th ed, pp1117-20; Plum & Posner, Diagnosis of Stupor and Coma, 3rd ed, p222-5)
C0162429|Malnutrition|An imbalanced nutritional status resulting from insufficient intake of nutrients to meet normal physiological requirement.
C0008372|Intrahepatic Cholestasis|Impairment of bile flow due to injury to the HEPATOCYTES; BILE CANALICULI; or the intrahepatic bile ducts (BILE DUCTS, INTRAHEPATIC).
C0007570|Celiac Disease|A malabsorption syndrome that is precipitated by the ingestion of foods containing GLUTEN, such as wheat, rye, and barley. It is characterized by INFLAMMATION of the SMALL INTESTINE, loss of MICROVILLI structure, failed INTESTINAL ABSORPTION, and MALNUTRITION.
C0008733|Chylothorax|The presence of chyle in the thoracic cavity. (Dorland, 27th ed)
C0038054|Sprue, Tropical|A chronic malabsorption syndrome, occurring mainly in residents of or visitors to the tropics or subtropics. The failed INTESTINAL ABSORPTION of nutrients from the SMALL INTESTINE results in MALNUTRITION and ANEMIA that is due to FOLIC ACID deficiency.
C0023895|Liver diseases|Pathological processes of the LIVER.
C3714509|Nutrition Disorders|Disorders caused by nutritional imbalance, either overnutrition or undernutrition.
C0015393|Eye Abnormalities|Congenital absence of or defects in structures of the eye; may also be hereditary.
C0006370|Bulimia|Eating an excess amount of food in a short period of time, as seen in the disorder of BULIMIA NERVOSA. It is caused by an abnormal craving for food, or insatiable hunger also known as ox hunger.
C0037579|Soft Tissue Neoplasms|Neoplasms of whatever cell type or origin, occurring in the extraskeletal connective tissue framework of the body including the organs of locomotion and their various component structures, such as nerves, blood vessels, lymphatics, etc.
C0042487|Venous Thrombosis|The formation or presence of a blood clot (THROMBUS) within a vein.
C0028754|Obesity|A status with BODY WEIGHT that is grossly above the recommended standards, usually due to accumulation of excess FATS in the body. The standards may vary with age, sex, genetic or cultural background. In the BODY MASS INDEX, a BMI greater than 30.0 kg/m2 is considered obese, and a BMI greater than 40.0 kg/m2 is considered morbidly obese (MORBID OBESITY).
C0020540|Malignant Hypertension|A condition of markedly elevated BLOOD PRESSURE with DIASTOLIC PRESSURE usually greater than 120 mm Hg. Malignant hypertension is characterized by widespread vascular damage, PAPILLEDEMA, retinopathy, HYPERTENSIVE ENCEPHALOPATHY, and renal dysfunction.
C0085082|Fungemia|The presence of fungi circulating in the blood. Opportunistic fungal sepsis is seen most often in immunosuppressed patients with severe neutropenia or in postoperative patients with intravenous catheters and usually follows prolonged antibiotic therapy.
C0085436|Meningitis, Cryptococcal|Meningeal inflammation produced by CRYPTOCOCCUS NEOFORMANS, an encapsulated yeast that tends to infect individuals with ACQUIRED IMMUNODEFICIENCY SYNDROME and other immunocompromised states. The organism enters the body through the respiratory tract, but symptomatic infections are usually limited to the lungs and nervous system. The organism may also produce parenchymal brain lesions (torulomas). Clinically, the course is subacute and may feature HEADACHE; NAUSEA; PHOTOPHOBIA; focal neurologic deficits; SEIZURES; cranial neuropathies; and HYDROCEPHALUS. (From Adams et al., Principles of Neurology, 6th ed, pp721-2)
C1540912|Hypereosinophilic syndrome|A heterogeneous group of disorders with the common feature of prolonged eosinophilia of unknown cause and associated organ system dysfunction, including the heart, central nervous system, kidneys, lungs, gastrointestinal tract, and skin. There is a massive increase in the number of EOSINOPHILS in the blood, mimicking leukemia, and extensive eosinophilic infiltration of the various organs.
C0018671|Head and Neck Neoplasms|Soft tissue tumors or cancer arising from the mucosal surfaces of the LIP; oral cavity; PHARYNX; LARYNX; and cervical esophagus. Other sites included are the NOSE and PARANASAL SINUSES; SALIVARY GLANDS; THYROID GLAND and PARATHYROID GLANDS; and MELANOMA and non-melanoma skin cancers of the head and neck. (from Holland et al., Cancer Medicine, 4th ed, p1651)
C0279543|Philadelphia chromosome positive chronic myelogenous leukemia|Clonal hematopoetic disorder caused by an acquired genetic defect in PLURIPOTENT STEM CELLS. It starts in MYELOID CELLS of the bone marrow, invades the blood and then other organs. The condition progresses from a stable, more indolent, chronic phase (LEUKEMIA, MYELOID, CHRONIC PHASE) lasting up to 7 years, to an advanced phase composed of an accelerated phase (LEUKEMIA, MYELOID, ACCELERATED PHASE) and BLAST CRISIS.
C0042138|Uterine Neoplasms|Tumors or cancer of the UTERUS.
C0040028|Thrombocythemia, Essential|A clinical syndrome characterized by repeated spontaneous hemorrhages and a remarkable increase in the number of circulating platelets.
C0023518|Leukocytosis|A transient increase in the number of leukocytes in a body fluid.
C0009450|Communicable Diseases|An illness caused by an infectious agent or its toxins that occurs through the direct or indirect transmission of the infectious agent or its products from an infected individual or via an animal, vector or the inanimate environment to a susceptible animal or human host.
C0035258|Restless Legs Syndrome|A disorder characterized by aching or burning sensations in the lower and rarely the upper extremities that occur prior to sleep or may awaken the patient from sleep.
C0027708|Nephroblastoma|A malignant kidney tumor, caused by the uncontrolled multiplication of renal stem (blastemal), stromal (STROMAL CELLS), and epithelial (EPITHELIAL CELLS) elements. However, not all three are present in every case. Several genes or chromosomal areas have been associated with Wilms tumor which is usually found in childhood as a firm lump in a child's side or ABDOMEN.
C0025320|Menopause|The last menstrual period. Permanent cessation of menses (MENSTRUATION) is usually defined after 6 to 12 months of AMENORRHEA in a woman over 45 years of age. In the United States, menopause generally occurs in women between 48 and 55 years of age.
C0014869|Peptic Esophagitis|INFLAMMATION of the ESOPHAGUS that is caused by the reflux of GASTRIC JUICE with contents of the STOMACH and DUODENUM.
C0037769|West Syndrome|An epileptic syndrome characterized by the triad of infantile spasms, hypsarrhythmia, and arrest of psychomotor development at seizure onset. The majority present between 3-12 months of age, with spasms consisting of combinations of brief flexor or extensor movements of the head, trunk, and limbs. The condition is divided into two forms: cryptogenic (idiopathic) and symptomatic (secondary to a known disease process such as intrauterine infections; nervous system abnormalities; BRAIN DISEASES, METABOLIC, INBORN; prematurity; perinatal asphyxia; TUBEROUS SCLEROSIS; etc.). (From Menkes, Textbook of Child Neurology, 5th ed, pp744-8)
C0015404|Eye Infections, Bacterial|Infections in the inner or external eye caused by microorganisms belonging to several families of bacteria. Some of the more common genera found are Haemophilus, Neisseria, Staphylococcus, Streptococcus, and Chlamydia.
C0014118|Endocarditis|Inflammation of the inner lining of the heart (ENDOCARDIUM), the continuous membrane lining the four chambers and HEART VALVES. It is often caused by microorganisms including bacteria, viruses, fungi, and rickettsiae. Left untreated, endocarditis can damage heart valves and become life-threatening.
C0007684|Central Nervous System Infection|Pathogenic infections of the brain, spinal cord, and meninges. DNA VIRUS INFECTIONS; RNA VIRUS INFECTIONS; BACTERIAL INFECTIONS; MYCOPLASMA INFECTIONS; SPIROCHAETALES INFECTIONS; fungal infections; PROTOZOAN INFECTIONS; HELMINTHIASIS; and PRION DISEASES may involve the central nervous system as a primary or secondary process.
C0041325|Peritonitis, Tuberculous|A form of PERITONITIS seen in patients with TUBERCULOSIS, characterized by lesion either as a miliary form or as a pelvic mass on the peritoneal surfaces. Most patients have ASCITES, abdominal swelling, ABDOMINAL PAIN, and other systemic symptoms such as FEVER; WEIGHT LOSS; and ANEMIA.
C0035243|Respiratory Tract Infections|Invasion of the host RESPIRATORY SYSTEM by microorganisms, usually leading to pathological processes or diseases.
C0009763|Conjunctivitis|INFLAMMATION of the CONJUNCTIVA.
C0017205|Gaucher Disease|An autosomal recessive disorder caused by a deficiency of acid beta-glucosidase (GLUCOSYLCERAMIDASE) leading to intralysosomal accumulation of glycosylceramide mainly in cells of the MONONUCLEAR PHAGOCYTE SYSTEM. The characteristic Gaucher cells, glycosphingolipid-filled HISTIOCYTES, displace normal cells in BONE MARROW and visceral organs causing skeletal deterioration, hepatosplenomegaly, and organ dysfunction. There are several subtypes based on the presence and severity of neurological involvement.
C0034063|Pulmonary Edema|Excessive accumulation of extravascular fluid in the lung, an indication of a serious underlying disease or disorder. Pulmonary edema prevents efficient PULMONARY GAS EXCHANGE in the PULMONARY ALVEOLI, and can be life-threatening.
C0023890|Liver Cirrhosis|Liver disease in which the normal microcirculation, the gross vascular anatomy, and the hepatic architecture have been variably destroyed and altered with fibrous septa surrounding regenerated or regenerating parenchymal nodules.
C0022660|Kidney Failure, Acute|undefined
C0022661|Kidney Failure, Chronic|The end-stage of CHRONIC RENAL INSUFFICIENCY. It is characterized by the severe irreversible kidney damage (as measured by the level of PROTEINURIA) and the reduction in GLOMERULAR FILTRATION RATE to less than 15 ml per min (Kidney Foundation: Kidney Disease Outcome Quality Initiative, 2002). These patients generally require HEMODIALYSIS or KIDNEY TRANSPLANTATION.
C0020458|Hyperhidrosis (disorder)|Excessive sweating. In the localized type, the most frequent sites are the palms, soles, axillae, inguinal folds, and the perineal area. Its chief cause is thought to be emotional. Generalized hyperhidrosis may be induced by a hot, humid environment, by fever, or by vigorous exercise.
C0019572|Hirsutism|A condition observed in WOMEN and CHILDREN when there is excess coarse body hair of an adult male distribution pattern, such as facial and chest areas. It is the result of elevated ANDROGENS from the OVARIES, the ADRENAL GLANDS, or exogenous sources. The concept does not include HYPERTRICHOSIS, which is an androgen-independent excessive hair growth.
C0020428|Hyperaldosteronism|A condition caused by the overproduction of ALDOSTERONE. It is characterized by sodium retention and potassium excretion with resultant HYPERTENSION and HYPOKALEMIA.
C0243002|Tricuspid Atresia|Absence of the orifice between the RIGHT ATRIUM and RIGHT VENTRICLE, with the presence of an atrial defect through which all the systemic venous return reaches the left heart. As a result, there is left ventricular hypertrophy (HYPERTROPHY, LEFT VENTRICULAR) because the right ventricle is absent or not functional.
C0003490|Aortic Arch Syndromes|Conditions resulting from abnormalities in the arteries branching from the ASCENDING AORTA, the curved portion of the aorta. These syndromes are results of occlusion or abnormal blood flow to the head-neck or arm region leading to neurological defects and weakness in an arm. These syndromes are associated with vascular malformations; ATHEROSCLEROSIS; TRAUMA; and blood clots.
C0003492|Aortic coarctation|A birth defect characterized by the narrowing of the AORTA that can be of varying degree and at any point from the transverse arch to the iliac bifurcation. Aortic coarctation causes arterial HYPERTENSION before the point of narrowing and arterial HYPOTENSION beyond the narrowed portion.
C0152101|Hypoplastic Left Heart Syndrome|A condition caused by underdevelopment of the whole left half of the heart. It is characterized by hypoplasia of the left cardiac chambers (HEART ATRIUM; HEART VENTRICLE), the AORTA, the AORTIC VALVE, and the MITRAL VALVE. Severe symptoms appear in early infancy when DUCTUS ARTERIOSUS closes.
C0039685|Tetralogy of Fallot|A combination of congenital heart defects consisting of four key features including VENTRICULAR SEPTAL DEFECTS; PULMONARY STENOSIS; RIGHT VENTRICULAR HYPERTROPHY; and a dextro-positioned AORTA. In this condition, blood from both ventricles (oxygen-rich and oxygen-poor) is pumped into the body often causing CYANOSIS.
C0034089|Pulmonary Valve Stenosis|The pathologic narrowing of the orifice of the PULMONARY VALVE. This lesion restricts blood outflow from the RIGHT VENTRICLE to the PULMONARY ARTERY. When the trileaflet valve is fused into an imperforate membrane, the blockage is complete.
C0013882|Elephantiasis|Hypertrophy and thickening of tissues from causes other than filarial infection, the latter being described as ELEPHANTIASIS, FILARIAL.
C0038463|Strongyloidiasis|Infection with nematodes of the genus STRONGYLOIDES. The presence of larvae may produce pneumonitis and the presence of adult worms in the intestine could lead to moderate to severe diarrhea.
C0040954|Infection by Trichuris trichiura|Infection with nematodes of the genus TRICHURIS, formerly called Trichocephalus.
C0086227|Enterobiasis|Infection with nematodes of the genus ENTEROBIUS; E. vermicularis, the pinworm of man, causes a crawling sensation and pruritus. This condition results in scratching the area, occasionally causing scarification.
C0003950|Ascariasis|Infection by nematodes of the genus ASCARIS. Ingestion of infective eggs causes diarrhea and pneumonitis. Its distribution is more prevalent in areas of poor sanitation and where human feces are used for fertilizer.
C0036262|Scabies infestation|A contagious cutaneous inflammation caused by the bite of the mite SARCOPTES SCABIEI. It is characterized by pruritic papular eruptions and burrows and affects primarily the axillae, elbows, wrists, and genitalia, although it can spread to cover the entire body.
C0029001|Onchocerciasis|Infection with nematodes of the genus ONCHOCERCA. Characteristics include the presence of firm subcutaneous nodules filled with adult worms, PRURITUS, and ocular lesions.
C0030756|Lice Infestations|Parasitic attack or subsistence on the skin by members of the order Phthiraptera, especially on humans by Pediculus humanus of the family Pediculidae. The hair of the head, eyelashes, and pubis is a frequent site of infestation. (From Dorland, 28th ed; Stedman, 26th ed)
C0024759|Mansonelliasis|Infection with nematodes of the genus MANSONELLA. Symptoms include pruritus, headache, and articular swelling.
C0020502|Hyperparathyroidism|A condition of abnormally elevated output of PARATHYROID HORMONE (or PTH) triggering responses that increase blood CALCIUM. It is characterized by HYPERCALCEMIA and BONE RESORPTION, eventually leading to bone diseases. PRIMARY HYPERPARATHYROIDISM is caused by parathyroid HYPERPLASIA or PARATHYROID NEOPLASMS. SECONDARY HYPERPARATHYROIDISM is increased PTH secretion in response to HYPOCALCEMIA, usually caused by chronic KIDNEY DISEASES.
C0035579|Rickets|Disorders caused by interruption of BONE MINERALIZATION manifesting as OSTEOMALACIA in adults and characteristic deformities in infancy and childhood due to disturbances in normal BONE FORMATION. The mineralization process may be interrupted by disruption of VITAMIN D; PHOSPHORUS; or CALCIUM homeostasis, resulting from dietary deficiencies, or acquired, or inherited metabolic, or hormonal disturbances.
C0270853|Juvenile Myoclonic Epilepsy|A disorder characterized by the onset of myoclonus in adolescence, a marked increase in the incidence of absence seizures (see EPILEPSY, ABSENCE), and generalized major motor seizures (see EPILEPSY, TONIC-CLONIC). The myoclonic episodes tend to occur shortly after awakening. Seizures tend to be aggravated by sleep deprivation and alcohol consumption. Hereditary and sporadic forms have been identified. (From Adams et al., Principles of Neurology, 6th ed, p323)
C0037286|Skin Neoplasms|Tumors or cancer of the SKIN.
C0010417|Cryptorchidism|A developmental defect in which a TESTIS or both TESTES failed to descend from high in the ABDOMEN to the bottom of the SCROTUM. Testicular descent is essential to normal SPERMATOGENESIS which requires temperature lower than the BODY TEMPERATURE. Cryptorchidism can be subclassified by the location of the maldescended testis.
C0021361|Female infertility|Diminished or absent ability of a female to achieve conception.
C0520909|Postoperative Nausea and Vomiting|Emesis and queasiness occurring after anesthesia.
C0152020|Gastroparesis|Chronic delayed gastric emptying. Gastroparesis may be caused by motor dysfunction or paralysis of STOMACH muscles or may be associated with other systemic diseases such as DIABETES MELLITUS.
C0014852|Esophageal Diseases|Pathological processes in the ESOPHAGUS.
C0151636|Premature ventricular contractions|A type of cardiac arrhythmia with premature contractions of the HEART VENTRICLES. It is characterized by the premature QRS complex on ECG that is of abnormal shape and great duration (generally >129 msec). It is the most common form of all cardiac arrhythmias. Premature ventricular complexes have no clinical significance except in concurrence with heart diseases.
C0039236|Tachycardia, Paroxysmal|Abnormally rapid heartbeats with sudden onset and cessation.
C0026636|Mouth Diseases|Diseases involving the MOUTH.
C0002892|Anemia, Pernicious|A megaloblastic anemia occurring in children but more commonly in later life, characterized by histamine-fast achlorhydria, in which the laboratory and clinical manifestations are based on malabsorption of vitamin B 12 due to a failure of the gastric mucosa to secrete adequate and potent intrinsic factor. (Dorland, 27th ed)
C0085677|Alcoholic Neuropathy|A condition where damage to the peripheral nervous system (including the peripheral elements of the autonomic nervous system) is associated with chronic ingestion of alcoholic beverages. The disorder may be caused by a direct effect of alcohol, an associated nutritional deficiency, or a combination of factors. Clinical manifestations include variable degrees of weakness; ATROPHY; PARESTHESIAS; pain; loss of reflexes; sensory loss; diaphoresis; and postural hypotension. (From Arch Neurol 1995;52(1):45-51; Adams et al., Principles of Neurology, 6th ed, p1146)
C0027429|Nasal obstruction present (finding)|Any hindrance to the passage of air into and out of the nose. The obstruction may be unilateral or bilateral, and may involve any part of the NASAL CAVITY.
C0010072|Coronary Thrombosis|Coagulation of blood in any of the CORONARY VESSELS. The presence of a blood clot (THROMBUS) often leads to MYOCARDIAL INFARCTION.
C0007785|Cerebral Infarction|The formation of an area of NECROSIS in the CEREBRUM caused by an insufficiency of arterial or venous blood flow. Infarcts of the cerebrum are generally classified by hemisphere (i.e., left vs. right), lobe (e.g., frontal lobe infarction), arterial distribution (e.g., INFARCTION, ANTERIOR CEREBRAL ARTERY), and etiology (e.g., embolic infarction).
C0006267|Bronchiectasis|Persistent abnormal dilatation of the bronchi.
C0002726|Amyloidosis|A group of sporadic, familial and/or inherited, degenerative, and infectious disease processes, linked by the common theme of abnormal protein folding and deposition of AMYLOID. As the amyloid deposits enlarge they displace normal tissue structures, causing disruption of function. Various signs and symptoms depend on the location and size of the deposits.
C0751965|Multiple Sclerosis, Secondary Progressive|undefined
C0011206|Delirium|A disorder characterized by CONFUSION; inattentiveness; disorientation; ILLUSIONS; HALLUCINATIONS; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)
C0038220|Status Epilepticus|A prolonged seizure or seizures repeated frequently enough to prevent recovery between episodes occurring over a period of 20-30 minutes. The most common subtype is generalized tonic-clonic status epilepticus, a potentially fatal condition associated with neuronal injury and respiratory and metabolic dysfunction. Nonconvulsive forms include petit mal status and complex partial status, which may manifest as behavioral disturbances. Simple partial status epilepticus consists of persistent motor, sensory, or autonomic seizures that do not impair cognition (see also EPILEPSIA PARTIALIS CONTINUA). Subclinical status epilepticus generally refers to seizures occurring in an unresponsive or comatose individual in the absence of overt signs of seizure activity. (From N Engl J Med 1998 Apr 2;338(14):970-6; Neurologia 1997 Dec;12 Suppl 6:25-30)
C3887612|Psychomotor Agitation|A feeling of restlessness associated with increased motor activity. This may occur as a manifestation of nervous system drug toxicity or other conditions.
C0948245|Cytokine Release Syndrome|A severe immune reaction characterized by excessive release of CYTOKINES. Symptoms include DYSPNEA; FEVER; HEADACHE; HYPOTENSION; NAUSEA; RASH; TACHYCARDIA; HYPOXIA; HYPERFERRITINEMIA, and MULTIPLE ORGAN FAILURE. It is associated with viral infections, SEPSIS; AUTOIMMUNE DISEASES and a variety of factors used in IMMUNOTHERAPY.
C0039483|Giant Cell Arteritis|A systemic autoimmune disorder that typically affects medium and large ARTERIES, usually leading to occlusive granulomatous vasculitis with transmural infiltrate containing multinucleated GIANT CELLS. The TEMPORAL ARTERY is commonly involved. This disorder appears primarily in people over the age of 50. Symptoms include FEVER; FATIGUE; HEADACHE; visual impairment; pain in the jaw and tongue; and aggravation of pain by cold temperatures. (From Adams et al., Principles of Neurology, 6th ed)
C0018621|Hay fever|Allergic rhinitis that occurs at the same time every year. It is characterized by acute CONJUNCTIVITIS with lacrimation and ITCHING, and regarded as an allergic condition triggered by specific ALLERGENS.
C0009766|Allergic Conjunctivitis|Conjunctivitis due to hypersensitivity to various allergens.
C0002994|Angioedema|Swelling involving the deep DERMIS, subcutaneous, or submucosal tissues, representing localized EDEMA. Angioedema often occurs in the face, lips, tongue, and larynx.
C0004775|Bartter Disease|A group of disorders caused by defective salt reabsorption in the ascending LOOP OF HENLE. It is characterized by severe salt-wasting, HYPOKALEMIA; HYPERCALCIURIA; metabolic ALKALOSIS, and hyper-reninemic HYPERALDOSTERONISM without HYPERTENSION. There are several subtypes including ones due to mutations in the renal specific SODIUM-POTASSIUM-CHLORIDE SYMPORTERS.
C0034734|Raynaud Disease|An idiopathic vascular disorder characterized by bilateral Raynaud phenomenon, the abrupt onset of digital paleness or CYANOSIS in response to cold exposure or stress.
C1301422|Diphtheria due to Corynebacterium diphtheriae|A localized infection of mucous membranes or skin caused by toxigenic strains of CORYNEBACTERIUM DIPHTHERIAE. It is characterized by the presence of a pseudomembrane at the site of infection. DIPHTHERIA TOXIN, produced by C. diphtheriae, can cause myocarditis, polyneuritis, and other systemic toxic effects.
C0014736|Erysipelothrix infection|Infections with bacteria of the genus ERYSIPELOTHRIX.
C0014009|Empyema|Presence of pus in a hollow organ or body cavity.
C0006057|Botulism|A disease caused by potent protein NEUROTOXINS produced by CLOSTRIDIUM BOTULINUM which interfere with the presynaptic release of ACETYLCHOLINE at the NEUROMUSCULAR JUNCTION. Clinical features include abdominal pain, vomiting, acute PARALYSIS (including respiratory paralysis), blurred vision, and DIPLOPIA. Botulism may be classified into several subtypes (e.g., food-borne, infant, wound, and others). (From Adams et al., Principles of Neurology, 6th ed, p1208)
C0039128|Syphilis|A contagious venereal disease caused by the spirochete TREPONEMA PALLIDUM.
C0031046|Pericarditis|Inflammation of the PERICARDIUM from various origins, such as infection, neoplasm, autoimmune process, injuries, or drug-induced. Pericarditis usually leads to PERICARDIAL EFFUSION, or CONSTRICTIVE PERICARDITIS.
C0034686|Rat-Bite Fever|A syndrome characterized by recurring fever, rash, and arthralgias occurring days to weeks after a rat bite. The causative agents are either Streptobacillus moniliformis or Spirillum minus.
C0032269|Pneumococcal Infections|Infections with bacteria of the species STREPTOCOCCUS PNEUMONIAE.
C0030636|Pasteurella Infections|Infections with bacteria of the genus PASTEURELLA.
C0023860|Listeriosis|Infections with bacteria of the genus LISTERIA.
C0025303|Meningococcal Infections|Infections with bacteria of the species NEISSERIA MENINGITIDIS.
C0001261|Actinomycosis|Infections with bacteria of the genus ACTINOMYCES.
C0458219|Complex Regional Pain Syndromes|Conditions characterized by pain involving an extremity or other body region, HYPERESTHESIA, and localized autonomic dysfunction following injury to soft tissue or nerve. The pain is usually associated with ERYTHEMA; SKIN TEMPERATURE changes, abnormal sudomotor activity (i.e., changes in sweating due to altered sympathetic innervation) or edema. The degree of pain and other manifestations is out of proportion to that expected from the inciting event. Two subtypes of this condition have been described: type I; (REFLEX SYMPATHETIC DYSTROPHY) and type II; (CAUSALGIA). (From Pain 1995 Oct;63(1):127-33)
C0149721|Left Ventricular Hypertrophy|Enlargement of the LEFT VENTRICLE of the heart. This increase in ventricular mass is attributed to sustained abnormal pressure or volume loads and is a contributor to cardiovascular morbidity and mortality.
C0023786|Mucopolysaccharidosis I|A group of autosomal recessive lysosomal storage disorders caused by mutations in the gene encoding the enzyme, alpha-L-iduronidase (IDUA), required for the degradation of heparan and dermatan sulfates. This leads to abnormal accumulation of these glycosaminoglycans in various tissues causing a wide range of clinical presentations including cognitive and musculoskeletal disorders.
C0085636|Photophobia|Abnormal sensitivity to light. This may occur as a manifestation of EYE DISEASES; MIGRAINE; SUBARACHNOID HEMORRHAGE; MENINGITIS; and other disorders. Photophobia may also occur in association with DEPRESSION and other MENTAL DISORDERS.
C0022593|Keratosis|Any horny growth such as a wart or callus.
C0014173|Endometrial Hyperplasia|Benign proliferation of the ENDOMETRIUM in the UTERUS. Endometrial hyperplasia is classified by its cytology and glandular tissue. There are simple, complex (adenomatous without atypia), and atypical hyperplasia representing also the ascending risk of becoming malignant.
