drug_cui|name
C5836973|influenza A virus A/Cambodia/e0826360/2020 (H3N2) antigen / influenza A virus A/Victoria/2570/2019 (H1N1) antigen / influenza B virus B/Phuket/3073/2013 antigen / influenza B virus B/Victoria/705/2018 antigen Injectable Suspension
C1310734|palonosetron hydrochloride
C0006681|calcium carbonate
C0142791|sodium alginate
C2983812|mirabegron
C3661274|umeclidinium
C1721300|pralatrexate
C0982305|OXIDRONATE SODIUM
C1872203|pasireotide
C0004259|atropine
C0139449|pralidoxime chloride
C2697942|lorcaserin hydrochloride
C4080052|elbasvir
C4080053|grazoprevir
C0073633|ranolazine
C2698221|migalastat hydrochloride
C3640212|lipegfilgrastim
C0040987|trifluridine
C4056442|tipiracil hydrochloride
C4064080|simoctocog alfa
C0008161|chloral hydrate
C0772051|samarium Sm 153 lexidronam
C1318649|carglumic acid
C0304547|Lactobacillus acidophilus preparation
C0014927|estriol
C0011087|dequalinium chloride
C5231210|Bordetella pertussis fimbriae antigen
C0718003|Poliovirus Vaccine, Inactivated
C2242156|poliovirus vaccine inactivated, type 1 (Mahoney)
C2242158|poliovirus vaccine inactivated, type 2 (MEF-1)
C2242160|poliovirus vaccine inactivated, type 3 (Saukett)
C0062086|Haemophilus influenzae type b polysaccharide vaccine
C5416842|Haemophilus influenzae b polysaccharide-tetanus conjugate
C3852938|letermovir
C0377401|vinorelbine tartrate
C3713906|etelcalcetide
C4510002|Disodium hydrogen phosphate dihydrate
C1435444|darunavir
C0600099|nalbuphine hydrochloride
C0771004|azelastine hydrochloride
C0007559|ceftazidime
C3489748|avibactam
C4688747|baloxavir marboxil
C1880350|diquafosol tetrasodium
C1370106|Clostridium botulinum toxin A antibody
C0008318|cholecalciferol
C0529793|sildenafil
C0065844|mecobalamin
C0949308|Fursultiamin Hydrochloride
C0006710|calcium pantothenate
C0061081|gamma-oryzanol
C4279599|latanoprostene bunod
C3272699|eliglustat tartrate
C2987430|dacomitinib
C2699793|methylephedrine hydrochloride, DL-
C0018305|guaifenesin
C1170114|Caffeine anhydrous
C0220802|butyrate
C3872026|ceftolozane sulfate
C0110462|colistimethate sodium
C1135132|ixabepilone
C0006055|Botulinum Toxins
C3546399|D-alanyl carrier protein
C1875034|DIPHTHERIA TOXOID/TETANUS TOXOID
C0719960|Diphtheria-Tetanus Toxoids, Pediatric (DT)
C5678624|Streptococcus pneumoniae type 6a capsular polysaccharide antigen
C2709766|Streptococcus pneumoniae type 4 capsular polysaccharide antigen
C2709770|Streptococcus pneumoniae type 6B capsular polysaccharide antigen
C2709778|Streptococcus pneumoniae type 9V capsular polysaccharide antigen
C2709742|Streptococcus pneumoniae type 14 capsular polysaccharide antigen
C2709748|Streptococcus pneumoniae type 18C capsular polysaccharide antigen
C2709752|Streptococcus pneumoniae type 19F capsular polysaccharide antigen
C2709760|Streptococcus pneumoniae type 23F capsular polysaccharide antigen
C1721288|sevelamer carbonate
C0213404|rufinamide
C0037521|sodium iodide
C1311253|fluciclovine F-18
C0771840|ropinirole hydrochloride
C0724579|enoxaparin sodium
C0595331|lercanidipine hydrochloride
C0249529|febuxostat
C4018766|pemetrexed disodium heptahydrate
C0055361|chlorhexidine gluconate
C0546869|lidocaine hydrochloride
C0966225|omalizumab
C0026056|midazolam
C4682397|ivosidenib
C0872908|oseltamivir phosphate
C0068475|nebivolol
C0007300|articaine hydrochloride
C0700536|epinephrine bitartrate
C0060657|formoterol
C0059708|ethenzamide
C0006226|Bromisovalum
C0771469|formoterol fumarate
C1135619|Dermatophagoides pteronyssinus antigen
C1135618|Dermatophagoides farinae antigen
C0076404|thiamine disulfide
C0771561|hydroxocobalamin acetate
C0246269|icatibant
C0037517|sodium hydroxide
C3179535|suvorexant
C5439123|Inactivated whole Hepatitis A virus GBM strain antigen only vaccine product
C0002645|amoxicillin
C0110038|clavulanate
C0055860|clavulanic acid
C0672188|S-benzoylmercaptoacetyltriglycine
C1955474|plerixafor
C0293742|stem bromelain
C0052234|apronalide
C0063242|hypromellose
C0033124|prilocaine
C0017725|glucose
C0991847|magnesium acetate tetrahydrate
C4263322|Methotrexate monoglutamate
C0004015|aspartic acid
C0061472|glutamic acid
C2828270|histidine monohydrochloride monohydrate
C0024340|lysine hydrochloride
C0071767|potassium hydroxide
C0134394|oxybutynin chloride
C2698280|avanafil
C0142825|sodium citrate
C0008024|chenodeoxycholic acid
C0004963|diphenhydramine hydrochloride
C0075262|stiripentol
C0054670|carbetocin
C0949359|methotrexate sodium
C3851350|ledipasvir
C0904505|mecasermin
C0770932|benserazide hydrochloride
C0005014|benserazide
C4490395|influenza A virus A/Singapore/GP1908/2015 (H1N1) antigen
C4718991|Influenza A virus A/Singapore/gp1908/2015 IVR-180 (H1N1) antigen (propiolactone inactivated)
C4256803|influenza A virus A/Hong Kong/4801/2014 (H3N2) antigen
C4033637|influenza B virus B/Brisbane/60/2008 antigen
C4745459|Ginkgo biloba leaf dry extract
C4724807|pemigatinib
C3642425|safinamide mesylate
C0026454|Monoamine Oxidase
C4753368|Glacial acetic acid only product
C0592789|acamprosate calcium
C4053698|capmatinib
C4078709|vericiguat
C0022625|ketoconazole
C0037500|deoxycholic acid, monosodium salt
C0011185|prasterone
C0301556|arginine hydrochloride
C5238091|ozanimod hydrochloride
C0070694|edaravone
C1176329|ambrisentan
C2745275|tafamidis meglumine
C1509559|Glucosamine sulfate sodium chloride
C4301617|follitropin delta
C2974540|canagliflozin
C0246203|fluvastatin sodium
C0009079|clozapine
C1966375|Nilotinib hydrochloride monohydrate
C0038689|sulfamethoxazole
C0041041|trimethoprim
C0700476|goserelin acetate
C0543476|granisetron hydrochloride
C0053523|betamethasone dipropionate
C0068700|nicorandil
C0049506|mirtazapine
C0079083|carboplatin
C0282052|ampicillin sodium
C0282355|sulbactam sodium
C0086999|chondroitin sulfate sodium
C1321598|panthenol
C2697593|d-alpha-tocopheryl acetate
C0027607|neomycin sulfate
C0700603|betamethasone sodium phosphate
C0017631|gliclazide
C0040233|timolol
C2242091|L-lysine-L-glutamate
C0623639|L-prolyl-L-prolyl-glycine
C4076239|Olive oil refined
C1455035|degarelix
C4511449|Entecavir monohydrate
C0048044|vigabatrin
C2920417|indacaterol maleate
C4723219|damoctocog alfa pegol
C1456409|etravirine
C2826076|nonacog alfa
C0674432|lopinavir
C0771735|tizanidine hydrochloride
C0137984|potassium acetate
C1883054|sodium phosphate, dibasic, dodecahydrate
C0024339|lysine acetate
C3495437|lysine monohydrate
C5244543|Plectranthus amboinicus whole extract
C0140575|rifabutin
C1099414|pimecrolimus
C0872997|cetrorelix acetate
C0700548|metoprolol tartrate
C0059623|estradiol valerate
C2194268|estradiol valerate + medroxyprogesterone acetate
C0724584|coagulation factor IX, human
C0032950|prednisolone
C0770920|quinapril hydrochloride
C0006519|butylscopolamine bromide
C0291216|gadobutrol
C1451502|tafluprost
C0020306|hydroquinone
C0982278|methyl gluceth-10
C0218640|lenograstim
C1881339|carbidopa anhydrous
C2980094|regorafenib
C1122962|gefitinib
C0066814|morphine sulfate
C0059562|erythromycin lactobionate
C0006405|buprenorphine
C0000039|1,2-dipalmitoylphosphatidylcholine
C0064732|lecithins, disaturated
C1142738|anidulafungin
C0073629|ganirelix
C4519542|neratinib maleate
C0701445|buprenorphine hydrochloride
C0771046|ciprofloxacin lactate
C1576821|micafungin sodium
C0301554|terpin hydrate
C0012265|digoxin
C1653590|naloxone hydrochloride dihydrate
C0107994|cabergoline
C1313386|insulin glulisine, human
C0025219|melatonin
C0060930|gadoteridol
C2987603|mogamulizumab
C4279743|vibegron
C4691680|fosnetupitant
C0220578|palonosetron
C4733463|tislelizumab
C5139916|tafasitamab
C5238084|cabotegravir sodium
C5242453|lecanemab
C5421024|linzagolix choline
C0296048|ferric oxyhydroxide
C0038636|sucrose
C0684177|sugars and starches
C2825616|esketamine
C1178489|eletriptan hydrobromide
C3659266|elobixibat
C0057257|defibrotide
C0073374|rifaximin
C4519232|revefenacin
C0014899|estetrol
C1684405|lubiprostone
C0064987|limaprost
C5541785|pneumococcal conjugate vaccine, 15-valent, IM use
C0058978|icosapent ethyl
C0020933|imipenem
C0008777|cilastatin
C4317244|relebactam
C5139827|Gefapixant
C2347171|acotiamide hydrochloride
C0303198|Germanium-68
C4508722|asciminib
C5421135|belumosudil mesylate
C4535718|netarsudil
C4078701|valbenazine
C0732290|urea c-13
C0048318|mequinol
C0035629|rimantadine
C0027603|neomycin
C0073085|resorcinol
C0008947|clindamycin
C0059688|ethacizine
C0033254|procyclidine
C0301408|vinbarbital
C0000665|oxyquinoline
C3858054|bupropion / naltrexone
C0031463|phenylbutazone
C3652525|typhoid, purified polysaccharide antigen
C0771612|morpholine salicylate
C0040898|trichlorfon
C3871437|nitrofurantoin, combinations
C0017628|glyburide
C0065936|menatetrenone
C5227832|indacaterol, glycopyrronium bromide and mometasone
C3536832|air
C3871448|indometacin and antiinfectives
C0086444|dexrazoxane
C3652709|sulfadimidine and trimethoprim
C0004499|azlocillin
C3652866|gamolenic acid, combinations
C0022181|isoflurophate
C0360734|lisinopril and diuretics
C1562019|Sodium benzoate- and sodium phenylacetate-containing product
C3833028|ketorolac / phenylephrine
C3652929|belladonna total alkaloids
C3652968|glycopyrronium bromide and psycholeptics
C3652510|encephalitis, Japanese, inactivated, whole virus
C0906166|mitiglinide
C0021978|clioquinol
C3653278|altheae radix
C0036078|sulfasalazine
C0064777|letosteine
C0074710|pramipexole
C3652718|prednisolone and promethazine
C0162922|perflubron
C0076793|tolciclate
C0717767|ferrous fumarate / folic acid
C3653230|propyphenazone, combinations with psycholeptics
C0016299|fluocinonide
C0029994|oxamniquine
C0072862|quinbolone
C0593472|Human tick borne encephalitis immunoglobulin
C0085542|pravastatin
C3700400|dapagliflozin / metformin
C3244837|simvastatin / sitagliptin
C0002144|allopurinol
C0015109|ethylmorphine
C3714569|metamizole sodium
C0002435|amdinocillin
C5574974|metronidazole and furazolidone
C0015120|etidocaine
C3539182|Salt solution combinations
C0042670|vinblastine
C5139798|pegunigalsidase alfa
C0028215|nitrous oxide
C1173376|fenpiprane
C0029193|metaproterenol
C0032952|prednisone
C0089958|mexazolam
C3653070|trichlormethiazide and potassium
C0014961|ethacridine lactate
C0014758|erythrityl tetranitrate
C0284941|acamprosate
C3652504|meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen
C0040864|triamcinolone
C3652899|diflucortolone and antiseptics
C0019223|heptaminol
C0068742|nifuroxazide
C0070072|paramethadione
C0041009|trihexyphenidyl
C3191261|emtricitabine / Rilpivirine / tenofovir disoproxil
C0051556|amcinonide
C5563936|celecoxib / tramadol
C0060504|flunoxaprofen
C0111063|crilanomer
C0379135|becaplermin
C0078643|xylometazoline
C0618388|tilbroquinol
C0024730|mannitol
C4519300|oteseconazole
C3652860|lactulose, combinations
C3700401|levofloxacin and ornidazole
C0699481|orphenadrine hydrochloride
C0031681|Phosphonoacetic Acid
C0028365|norfloxacin
C3653170|bioallethrin, combinations
C3652879|epinephrine, combinations
C0008269|chloroquine
C1693912|Anecortave
C0086728|obidoxime
C3653224|rubella, combinations with mumps, live attenuated
C3540027|Adrenergic and dopaminergic agents combinations
C0018318|guanethidine
C3653058|proxyphylline and adrenergics
C3652563|magnesium (different salts in combination)
C0008932|clenbuterol
C0065865|medrysone
C0020281|hydrogen peroxide
C5783053|dapsone, rifampicin and clofazimine
C3652748|amlodipine-losartan drug combination
C1172636|dalbavancin
C3661282|vortioxetine
C0164815|penciclovir
C0063953|isoconazole
C3653155|dexchlorpheniramine, combinations
C0060501|flunisolide
C1302086|bumetanide / potassium
C4316850|hydroquinine
C3652643|dysprosium (165Dy) colloid
C3652901|contact laxatives in combination
C3652757|hyoscyamine and psycholeptics
C0054157|broxyquinoline
C0536495|moxifloxacin
C0028017|niclosamide
C0962603|alefacept
C0040805|trazodone
C0074281|selenium sulfide
C0016945|galactose
C0025042|meclofenamic acid
C0359156|rabbit anti-human T-lymphocyte globulin
C0007906|cetylpyridinium
C0020811|idoxuridine
C0038753|sulfobromophthalein
C0058765|droxicam
C3652431|limbal stem cells, autologous
C2981321|meprotixol
C0171447|sitafloxacin
C0053570|bifonazole
C0301302|Methylrosaniline
C0012381|dimenhydrinate
C0771169|fedrilate
C0085251|encainide
C0279218|edrecolomab
C0082787|halobetasol
C1449556|Ebola Vaccines
C3652430|mumps, live attenuated
C0048504|fomepizole
C3652975|fludroxycortide and antibiotics
C0007248|carisoprodol
C0028053|nicotinyl alcohol
C1101425|camphora (pharmacologic substance)
C0076723|tiropramide
C5227833|irbesartan, amlodipine and hydrochlorothiazide
C4519167|tucatinib
C0012052|dibutyl phthalate
C0002658|amphetamine
C3854019|gentamicin
C0027679|neostigmine
C0020411|hymecromone
C0069805|oxybutynin
C0050403|aceclofenac
C1620263|metformin / rosiglitazone
C0796561|Melanoma vaccine
C0016351|fluorometholone
C0025373|Mepartricin
C0014479|ephedrine
C0593516|microparticles of galactose
C0057799|dibrompropamidine
C0018880|helium
C0012373|diltiazem
C0021528|inosine
C3541398|textile allergenic extracts
C0055819|citric acid
C2926870|dutasteride / tamsulosin
C0001187|acriflavine
C0093437|cevimeline
C0034266|pyridoxal phosphate
C3653089|clioquinol, combinations
C3652427|linseed, combinations
C0038425|streptomycin
C0031406|phenindione
C0677667|raltitrexed
C3652846|methaqualone, combinations
C0025760|methylergonovine
C3652475|technetium (99mTc) apcitide
C0006795|camazepam
C0075783|talinolol
C0012201|diethylpropion
C0051736|amorolfine
C0037125|silver
C3489483|Gadoxetic acid
C5783238|ferrous amino acid complex and folic acid
C3882783|dasabuvir / ombitasvir / paritaprevir / ritonavir
C0019134|heparin
C0033459|periciazine
C3652666|chondroitin sulfate-iron complex
C0060838|fungichromin
C3652515|plague, inactivated, whole cell
C0028741|nystatin
C0060275|ferrous chloride
C0023992|loperamide
C3652761|haemophilus influenzae B and poliomyelitis
C0022614|ketamine
C0041031|trimeprazine
C0256552|acetylleucine
C3652942|acetylglycinamide chloral hydrate
C3652788|cyclothiazide and potassium
C3653173|betaxolol, combinations
C4301621|metoprolol and acetylsalicylic acid
C0008196|chlorhexidine
C0022487|kanamycin
C3885145|sarilumab
C0058446|dironyl
C3653185|adapalene, combinations
C0051247|alminoprofen
C0246584|Cefozopran
C0009325|collagen
C3652441|diosmin, combinations
C0069488|omoconazole
C2369192|iobenguane I-123
C2137694|combinations of corticosteroids
C0538777|ancestim
C1260235|ethinyl estradiol and norethindrone
C0050393|acarbose
C0051511|aluminum chlorohydrate
C0002334|alprenolol
C0069351|octenidine
C0028070|nifuratel
C5139878|Imlifidase
C2352806|necitumumab
C0262964|capreomycin
C0035554|Ribostamycin
C3501981|Gemigliptin
C0041098|triprolidine
C1977391|atazanavir, ritonavir drug combination
C0304984|iothalamate sodium I125
C0005578|biperiden
C0037688|sorbitol
C3653156|dexbrompheniramine, combinations
C0007549|Cefmenoxime
C0128513|milrinone
C5227845|vonoprazan, amoxicillin and metronidazole
C5783061|pridinol, combinations
C0000578|5-hydroxytryptophan
C0060394|fipexide
C0059459|epomediol
C0059699|ethanolamine oleate
C0008809|ciprofloxacin
C3660206|sulfadoxine-pyrimethamine-artesunate
C3652898|esomeprazole, amoxicillin and clarithromycin
C0085228|fluvoxamine
C5227824|daclatasvir, asunaprevir and beclabuvir
C0066101|methdilazine
C0033567|epoprostenol
C3653200|theophylline, combinations excl. psycholeptics
C3652819|octenidine, combinations
C0028089|nikethamide
C0072155|pronarcon
C3653154|dextromethorphan, combinations
C0543448|magnesium aspartate
C0001040|acetylcarnitine
C0389169|doripenem
C0064906|nafarelin
C0040382|tolperisone
C3652703|timolol and thiazides
C0025639|methenolone
C0041165|troleandomycin
C0070742|pholcodine
C3653253|ergotamine, combinations with psycholeptics
C0041175|tromethamine
C3652469|technetium (99mTc) tin colloid
C0075667|suxibuzone
C0039834|Thioacetazone
C3653252|ethenzamide, combinations with psycholeptics
C0077906|urinastatin
C1882489|propenidazole
C0020404|hydroxyzine
C0025696|methyclothiazide
C0108946|cefteram
C0031937|pindolol
C0022642|ketotifen
C0378335|technetium Tc 99m bicisate
C3653159|dantron, combinations
C0874161|oseltamivir
C0644503|butalamine
C0031444|phenprocoumon
C0768401|oxomemazine
C0358689|captopril and diuretics
C0211492|technetium Tc 99m 1,2-bis(bis(2-ethoxyethyl)phosphino)ethane
C3653102|tretinoin, combinations
C0034282|pyrilamine
C2713632|fostamatinib
C3653137|triamcinolone and antiseptics
C0139919|ranitidine bismuth citrate
C0018062|chorionic gonadotropin
C0028113|Niridazole
C0015137|etretinate
C0215087|dapoxetine
C4279601|Evogliptin
C0040989|triflupromazine
C0025616|methandrostenolone
C5139863|Fosravuconazole
C0010621|cyproterone
C0038795|Suloctidil
C0040779|trapidil
C3652490|papillomavirus (human types 16, 18)
C1958300|veliparib
C0041499|tyrothricin
C3652900|cyclopenthiazide and potassium-sparing agents
C3871445|lansoprazole, amoxicillin and levofloxacin
C3653127|heparin, combinations
C0076784|tofisopam
C3536934|Cadmium Compounds
C0084186|propacetamol
C0530684|ezogabine
C0033148|primidone
C0145975|tiracizine
C0022046|ipecac
C4542170|Idursulfase beta
C0065374|lisinopril
C0016294|flumethasone
C0650248|methylestrenolone
C0015821|fenbendazole
C3653091|clemastine, combinations
C0063744|iobenzamic acid
C3652448|technetium (99mTc) hynic-octreotide
C3652965|hydrocortisone and antiseptics
C4301630|tramadol, dexketoprofen drug combination
C0071042|picosulfate sodium
C0055014|ceftibuten
C3652995|carbon dioxide producing drugs
C0762659|amrubicin
C3652828|sodium fluoride, combinations
C0015099|ethylestrenol
C0011041|DDT (Insecticide)
C0010934|dactinomycin
C0010547|cyclizine
C3653194|phenazone, combinations excl. psycholeptics
C3501765|imeglimin
C4224790|obiltoxaximab
C0379955|indium In-111 pentetreotide
C0007737|cephapirin
C0068746|nifurzide
C0054084|brodimoprim
C0004905|beclomethasone
C0301374|methscopolamine
C0070557|phenethicillin
C0055720|cifenline
C3653120|histapyrrodine, combinations
C0017861|glycerin
C0053396|beta carotene
C3540031|gonadotropin combinations
C4058811|osimertinib
C0071126|pirarubicin
C3652870|fluoride, combinations
C3653051|pindolol and other diuretics
C0138666|propiverine
C3653223|salicylamide, combinations with psycholeptics
C0048306|formestane
C0244404|raloxifene
C0010525|cyclandelate
C3653184|albumin tannate, combinations
C0132512|nilvadipine
C0077013|triazulenone
C0025746|methylene blue
C2733369|amlodipine / telmisartan
C0031849|physostigmine
C0077073|triclofos
C0030896|pentostatin
C1322006|difetarsone
C3652565|formocortal
C5577610|dengue virus vaccines
C0058192|dimefline
C0057831|dichloralphenazone
C0384641|O-raffinose cross-linked human hemoglobin
C3652647|technetium (99mTc) votumumab
C0024452|mafenide
C0027444|natamycin
C0014963|ethacrynic acid
C1619962|belatacept
C5783062|telmisartan, amlodipine and hydrochlorothiazide
C0052796|azithromycin
C3652797|choline theophyllinate and adrenergics
C4308025|lutetium Lu 177 vipivotide tetraxetan
C3652498|papillomavirus (human types 6, 11, 16, 18)
C0054120|bromodiphenhydramine
C3652746|medrogestone and estrogen
C0532578|voglibose
C0021234|indocyanine green
C0015116|etilefrine
C0006882|canrenone
C1453642|telavancin
C4301624|olmutinib
C3652657|diphtheria-haemophilus influenzae B-pertussis-tetanus-hepatitis B
C0085176|trimetrexate
C0006709|calcium pangamate
C0296806|iobitridol
C0027373|naphazoline
C3652682|idanpramine
C0016971|gallamine
C0055375|chlormidazole
C0063803|iodoxamic acid
C0060470|flosequinan
C0142931|sodium tartrate
C0015840|fenoterol
C0009033|clorazepate dipotassium
C5564905|nirmatrelvir and ritonavir drug combination
C0525079|bendamustine
C0016375|flurazepam
C5433947|sotrovimab
C0981809|acriflavine hydrochloride
C0016967|galantamine
C3652986|acebutolol and thiazides
C3652827|sodium picosulfate, combinations
C3652911|chlormadinone and ethinylestradiol
C2960912|metformin / saxagliptin
C3652804|lisinopril and amlodipine
C3653128|combinations of xanthines
C0054480|calcium polycarbophil
C0053535|bezitramide
C0006491|butorphanol
C0351000|glymidine
C0762662|rofecoxib
C0246154|gadobenic acid
C3652693|etohexadiol
C0024001|Lorajmine
C2825682|ingenol mebutate
C0002520|Amino Acids
C3652708|tamsulosin and solifenacin
C0055740|cinepazide
C0361921|ethyl esters of iodised fatty acids
C0040613|tranexamic acid
C5227842|rosuvastatin and ramipril
C1654733|glimepiride / rosiglitazone
C0037114|silicones
C0008845|citalopram
C0016383|fluspirilene
C0068485|nefazodone
C0025668|methohexital
C0025603|methacycline
C3643658|atorvastatin / ezetimibe
C0018549|halothane
C0001937|alclofenac
C0536004|magnesium orotate
C3653036|fosinopril and diuretics
C4759129|fexapotide
C0073047|remoxipride
C3652743|methyclothiazide and potassium
C0126777|magnesium gluconate
C0071129|pirbuterol
C0040958|triclosan
C0361485|Krypton (81mKr) gas
C3653254|electrolytes in combination with other drugs
C3652597|iodoheparinate
C0016278|flucytosine
C0060180|fenoldopam
C2698291|azilsartan medoxomil
C3652776|donepezil / memantine
C0008281|chlorpheniramine
C0005099|benzydamine
C3652938|alendronic acid and alfacalcidol, sequential
C0042313|vancomycin
C0078703|mepirodipine
C3653004|levodopa and decarboxylase inhibitor
C0771017|methoserpidine
C0055775|ciprofibrate
C3652908|fluocinolone acetonide and antiinfectives
C0029904|ouabain
C0033509|propyliodone
C0650237|clofezone
C3652954|methylprednisolone and antibiotics
C0054241|butanilicaine
C3652765|fluorometholone and mydriatics
C3652787|megestrol and ethinylestradiol
C2698676|oxametacin
C3652461|technetium (99mTc) nanocolloid
C0002640|amobarbital
C3652823|sterculia, combinations
C0057233|decamethrin
C0041931|URATE OXIDASE
C3652659|dimethylcarbate
C0025023|mebendazole
C0006481|butaperazine
C0013092|doxylamine
C3653108|ibuprofen, combinations
C1619629|deferasirox
C3652916|chondrocytes, autologous
C0063449|indanazoline
C1135662|dornase alfa
C0020268|hydrocortisone
C0057626|dezocine
C0134250|otilonium bromide
C3652988|prednisolone and mydriatics
C4759135|omidenepag
C0006222|Bromides
C3653005|etilevodopa and decarboxylase inhibitor
C0086140|dextran
C0055445|chloropyramine
C0022616|ketanserin
C0039854|thiamphenicol
C0113293|dexmedetomidine
C0034295|pyrithioxin
C3652890|metoprolol and thiazides, combinations
C0076808|tolrestat
C0060879|fusafungin
C0540623|naratriptan
C0011785|dexetimide
C0072511|proxyphylline
C1174995|efalizumab
C0025684|methoxsalen
C2698906|protiofate
C0060282|ferrous sulfate
C0012030|dibenzepin
C2825249|Esflurbiprofen
C0047115|3-(2,2,2-trimethylhydrazine)propionate
C4742689|flortaucipir F-18
C0380393|ziprasidone
C0717419|AMOXICILLIN/CLARITHROMYCIN/LANSOPRAZOLE
C0728810|Butyrylcholinesterase
C0172907|flutrimazole
C0717550|candesartan
C0102139|alglucerase
C0440307|Grass pollen
C0527129|prulifloxacin
C0982156|fibrinogen,I-125
C3864967|ombitasvir / paritaprevir / ritonavir
C0022209|isoniazid
C5564078|CILGAVIMAB/TIXAGEVIMAB
C3652552|methyldopa (racemic)
C2959379|Indium (111-In) capromab pendetide
C0018165|gramicidin
C4548369|cefiderocol
C0537150|ganaxolone
C0070122|paroxetine
C3652876|estradiol, combinations
C4519273|glasdegib
C0025893|mezlocillin
C3652736|nebivolol and thiazides
C0078240|viminol
C3652829|nifedipine, combinations
C0007047|carboprost
C0014806|erythromycin
C0041040|trimethaphan
C0065988|mercuric iodide
C2698152|olaratumab
C3502652|plazomicin
C3652885|cascara, combinations
C0061231|geranylgeranylacetone
C0011588|dequalinium
C0063340|ifenprodil
C0014405|Enviomycin
C0032334|podofilox
C0066139|methixene
C0076286|tetrahydrozoline
C3848705|canagliflozin / metformin
C4731737|elapegademase
C2931926|ruxolitinib
C0026259|mitoxantrone
C0072804|pyrvinium
C0025643|methicillin
C5392453|berotralstat
C0042071|urokinase
C0072916|cisapride
C5227828|fimasartan and amlodipine
C0000294|mesna
C0038143|stannous fluoride
C3467842|pacritinib
C0057002|cytomegalovirus immune globulin
C0058677|domiphen
C0040778|tranylcypromine
C0076652|tianeptine
C1134467|methyl 5-aminolevulinate
C0301333|Calcium aminosalicylate
C0000992|acetohexamide
C4542176|rosuvastatin, amlodipine and perindopril
C3653190|alfuzosin and finasteride
C3652677|nicofetamide
C0071152|pirprofen
C0301508|yellow fever vaccine
C0001041|acetylcholine
C0022938|Lactobacillus
C3896940|gilteritinib
C0031955|piperacillin
C3652646|technetium (99mTc) rheniumsulfide colloid
C0033218|procaine
C3652713|risedronic acid, calcium and colecalciferol, sequential
C0013090|doxycycline
C0005038|lindane
C0012341|iodoquinol
C1169987|acetaminophen / tramadol
C0057232|decamethoxine
C3541358|barbiturates in combination with other drugs
C0206232|nadroparin
C4542162|bictegravir / emtricitabine / tenofovir alafenamide
C0078839|zolpidem
C0038710|sulfapyridine
C0006246|brompheniramine
C0032143|alteplase
C4288415|Pegteograstim
C0216971|colfosceril palmitate
C4301613|dihydrocodeine and other non-opioid analgesics
C0037532|sodium nitrite
C0288672|abciximab
C2699179|chlorbenzoxamine
C0304483|Fat emulsion
C0063815|iopentol
C0011707|desoximetasone
C0053532|bevantolol
C0014310|enoxacin
C3652871|feprazone, combinations
C5227843|tamsulosin and tadalafil
C3539967|Insulins and analogs for injection, intermediate-acting combined with fast-acting- combinations
C2698385|betrixaban
C0796545|peginterferon alfa-2b
C3653030|methyldopa (levorotatory) and diuretics
C3652544|nicotinyl methylamide
C4301605|arterolane and piperaquine
C1720918|Herpes Zoster Vaccine
C1135135|erlotinib
C0071810|pramoxine
C4301631|tramadol and other non-opioid analgesics
C0012227|diflucortolone
C0905464|landiolol
C0055892|cloridarol
C3652956|mebutizide and potassium-sparing agents
C0008273|chlorothiazide
C0144567|taurolidine
C0052751|azanidazole
C3652445|typhus exanthematicus, inactivated, whole cell
C0037659|somatostatin
C0663182|daclizumab
C1956280|luliconazole
C0012093|dicloxacillin
C0014964|ethambutol
C4727630|ciltacabtagene autoleucel
C3652606|phenylpropanolamine, combinations
C3652873|etilefrine, combinations
C3652833|senna glycosides, combinations
C3653047|penbutolol and other diuretics
C3871430|risedronic acid and colecalciferol
C0242531|vecuronium
C3652639|ferric oxide polymaltose complexes
C0301341|arsthinol
C0076513|thiopropazate
C0073371|rifamycin SV
C0064324|kebuzone
C1871983|Carisbamate
C3886763|brincidofovir
C0068986|norfenefrine
C0006992|carbocysteine
C4542180|zoster, purified antigen
C0144098|sulfoxone, disodium salt
C3653050|phenylbutazone and corticosteroids
C0043355|xipamide
C0065152|lofexidine
C3652852|meclozine, combinations
C3652751|labetalol and thiazides
C0249289|cilansetron
C0028923|oleandomycin
C0062076|hachimycin
C3195420|C1 esterase inhibitor (recombinant)
C0055923|clomocycline
C0069008|normethadone
C3539959|Long-acting sulfonamide combinations
C0066561|minaprine
C3653003|melevodopa and decarboxylase inhibitor
C0073994|salmon calcitonin
C1876229|telaprevir
C3652982|bumetanide and potassium-sparing agents
C3653069|triamcinolone and antibiotics
C4045494|ribociclib
C3652511|hemoglobin crosfumaril
C0304987|iodohippurate I131 sodium
C0033511|propylthiouracil
C3700405|fenoterol and ipratropium bromide
C0002333|alprazolam
C0254211|umifenovir
C5783046|cefixime and azithromycin
C3652665|chromium (51Cr) chromate labelled cells
C3652816|oxedrine, combinations
C3652795|clopamide and potassium
C4045501|Ripasudil
C0022245|isoproterenol
C0006945|carbachol
C0058224|dimethyl phthalate
C0015620|famotidine
C3652766|fluorometholone and antiinfectives
C0071082|pinazepam
C0762737|belotecan
C0058445|dirithromycin
C3652769|etidronic acid and calcium, sequential
C0524684|pentosan polysulphate sodium
C0007714|Cephacetrile
C0163557|moxidectin
C0053114|benoxinate
C5432324|ansuvimab
C4059158|dapagliflozin / saxagliptin
C0008232|chlorobutanol
C3652847|meprobamate, combinations
C0961485|eplerenone
